Manufacturer,Height,D1,D2,D3,D4,Cylindrical,Mortise,Rim_Panic,CVR_Panic,SVR_Panic,Mortise_Panic,Concealed_Cable
Minton,80,4 7/8,35 1/8,65 3/8,,41 7/8,42 1/4,Per Template,Per Template,Per Template,Per Template,Per Template
Minton,82,4 7/8,36 1/8,67 3/8,,43 7/8,44 1/4,Per Template,Per Template,Per Template,Per Template,Per Template
Minton,84,4 7/8,37 1/8,69 3/8,,45 7/8,46 1/4,Per Template,Per Template,Per Template,Per Template,Per Template
Minton,86,4 7/8,38 1/8,71 3/8,,47 7/8,48 1/4,Per Template,Per Template,Per Template,Per Template,Per Template
Minton,88,4 7/8,39 1/8,73 3/8,,49 7/8,50 1/4,Per Template,Per Template,Per Template,Per Template,Per Template
Minton,90,4 7/8,40 1/8,75 3/8,,51 7/8,52 1/4,Per Template,Per Template,Per Template,Per Template,Per Template
Minton,92,4 7/8,29 1/16,53 1/4,77 7/16,53 7/8,54 1/4,Per Template,Per Template,Per Template,Per Template,Per Template
Minton,94,4 7/8,29 11/16,54 1/2,79 5/16,55 7/8,56 1/4,Per Template,Per Template,Per Template,Per Template,Per Template
Minton,96,4 7/8,30 3/8,55 7/8,81 3/8,57 7/8,58 1/4,Per Template,Per Template,Per Template,Per Template,Per Template
Minton,98,4 7/8,31 1/16,57 1/4,83 7/16,59 7/8,60 1/4,Per Template,Per Template,Per Template,Per Template,Per Template
Minton,100,4 7/8,31 11/16,58 1/2,85 5/16,61 7/8,62 1/4,Per Template,Per Template,Per Template,Per Template,Per Template
Minton,102,4 7/8,32 3/8,59 7/8,87 3/8,63 7/8,64 1/4,Per Template,Per Template,Per Template,Per Template,Per Template
Minton,104,4 7/8,33 1/16,61 1/4,89 7/16,65 7/8,66 1/4,Per Template,Per Template,Per Template,Per Template,Per Template
Minton,106,4 7/8,33 11/16,62 1/2,91 5/16,67 7/8,68 1/4,Per Template,Per Template,Per Template,Per Template,Per Template
Minton,108,4 7/8,34 3/8,63 7/8,93 3/8,69 7/8,70 1/4,Per Template,Per Template,Per Template,Per Template,Per Template
Minton,110,4 7/8,35 1/16,65 1/4,95 7/16,71 7/8,72 1/4,Per Template,Per Template,Per Template,Per Template,Per Template
Minton,112,4 7/8,35 11/16,66 1/2,97 5/16,73 7/8,74 1/4,Per Template,Per Template,Per Template,Per Template,Per Template
Minton,114,4 7/8,36 3/8,67 7/8,99 3/8,75 7/8,76 1/4,Per Template,Per Template,Per Template,Per Template,Per Template
