Locktype,Model,Description,Size,Template
MORTISE,SCHLAGE PASSAGE,L8010,,L892
MORTISE,SCHLAGE PRIVACY,L8044,,L894
MORTISE,SCHLAGE ENTRANCE,L8050,,L886
MORTISE,SCHLAGE CLASSROOM,L8070,,L885
MORTISE,SCHLAGE STORAGE,L8080,,
MORTISE,SCHLAGE ELECTRIFIED,L8063,,L402
MORTISE,SARGENT PRIVACY,8225,,7057
MORTISE,SARGENT ENTRANCE,8205,,7057
MORTISE,SARGENT CLASSROOM,8237,,7057
MORTISE,SARGENT STOREROOM,8204,,7057
MORTISE,SARGENT ELECTRIFIED,8271,,755/T/065
MORTISE,BEST,49 & 6TH,,
MORTISE,FALCON,M101 M181,,FM703
CYLINDRICAL,SCHLAGE CYLINDRICAL,D13,,86/99
CYLINDRICAL,KABA CYLINDRICAL,SEE ATTACHED,,SEE ATTACHED
CYLINDRICAL,BEST CYLINDRICAL,NK,,K38
CYLINDRICAL,FALCON CYLINDRICAL,W10,,W711
RIM PANIC,98/99 RIM EXIT ONLY,SEE ATTACHED,,SEE ATTACHED
MORTISE PANIC,OTHER,SEE ATTACHED,,SEE ATTACHED
CVR PANIC,OTHER,SEE ATTACHED,,SEE ATTACHED
CONCEALED CABLE,OTHER,SEE ATTACHED,,SEE ATTACHED
