Category,Code,Description,Size,Template,Lock Backset,Strike Offset
Hinge,H45,4½ STANDARD WEIGHT,4½ x 4½ x .134,T311,
Hinge,H45HW,4½ HEAVY WEIGHT,4½ x 4½ x .180,T311,
Hinge,H50,5 STANDARD WEIGHT,5 x 4½ x .145,T315,
Hinge,H50HW,5 HEAVY WEIGHT,5 x 4½ x .190,T315,
Hinge,HCONT,Continuous Hinge,SEE ATTACHED,SEE ATTACHED,
Hinge,H218,SOSS 218,SEE ATTACHED,218,
Hinge,H218IC,SOSS 218IC,SEE ATTACHED,218IC,
Hinge,HT240,TE 240 3D,SEE ATTACHED,SEE ATTACHED,
Hinge,HT340,TE 340 3D,SEE ATTACHED,SEE ATTACHED,
Hinge,HT540,TE 540 3D,SEE ATTACHED,SEE ATTACHED,
Hinge,HT540A,TE 540 3D A8,SEE ATTACHED,SEE ATTACHED,
Hinge,HT541,TE 541 3D FVZ,SEE ATTACHED,SEE ATTACHED,
Hinge,HT640,TE 640 3D,SEE ATTACHED,SEE ATTACHED,
Hinge,HT640A,TE 640 3DA8,SEE ATTACHED,SEE ATTACHED,
Hinge,HT645,TE 645 3D,SEE ATTACHED,SEE ATTACHED,
Hinge,HT526,TE 526 3D,SEE ATTACHED,SEE ATTACHED,
Hinge,HT527,TE 527 3D,SEE ATTACHED,SEE ATTACHED,
Hinge,HT626,TE 626 3D A8,SEE ATTACHED,SEE ATTACHED,
Hinge,HTTE,TE TACTUS ENERGY,SEE ATTACHED,SEE ATTACHED,
Hinge,HPVT,RIXSON OFFSET PIVOT,SEE ATTACHED,SEE ATTACHED,
Hinge,HN16,SOSS 216,SEE ATTACHED,SEE ATTACHED,
Door Bottom,DB411,411 AUTO DROP BOTTOM,,411_fb,
Door Bottom,DB412,412 AUTO DROP BOTTOM,,412_fb,
Door Bottom,DB422,422 AUTO DROP BOTTOM,,422_PU,
Door Bottom,DB434,434 300 2DSL,,,
Door Bottom,DB381,381 ZERO,,,
Door Bottom,DB361,361 ZERO,,,
Door Bottom,DB362,362 ZERO,,,
Door Bottom,DB364,364 ZERO,,,
Door Bottom,DB366,366 ZERO,,,
Door Bottom,DB355,355 ZERO,,355,
Door Bottom,DB225,215 NATIONAL,,259-225599HM,
Flushbolt,FB742,ROCKWOOD 742,,840,
Flushbolt,FB842,ROCKWOOD 842,,840,
Flushbolt,FB840,ROCKWOOD 840,,840,
Flushbolt,FB1P,FLUSHBOLT 1P,,829399-00,
Flushbolt,FB942,FLUSHBOLT 942,,829385-00,
Flushbolt,FB941,FLUSHBOLT 941,,829371-00,
Flushbolt,FBG40,FLUSHBOLT G40,,829397-00,
Flushbolt,FB91,FLUSHBOLT 91,,,
Flushbolt,FB90,FLUSHBOLT 90,,,
Flushbolt,FB945,DC 945,,INST FBLT,
Flushbolt,FB2842,ROCKWOOD 2842,,T-2842,
Flushbolt,FB2843,ROCKWOOD 2843,,,
Flushbolt,FB2844,ROCKWOOD 2844,,,
Overhead Stop,OHS742,ROCKWOOD 742,840,,
Overhead Stop,OHS842,ROCKWOOD 842,840,,
Overhead Stop,OHS103,OVERHEAD STOP 103,,,
Overhead Stop,OHS104,OVERHEAD STOP 104,,,
Overhead Stop,OHS105,OVERHEAD STOP 105,,,
Hold Open,LHOPEN,HOLD OPEN,,,
Locktype,LMOR,MORTISE,,,1 5/7,+1/4
Locktype,LCYL,CYLINDRICAL,,,,-1/8
Locktype,LRPN,RIM PANIC,,,,
Locktype,LCVR,CVR PANIC,,,,
Locktype,LMPN,MORTISE PANIC,,,,
Locktype,LEDCVR,EDCVR,,,,
Locktype,LCONCBL,CONCEALED CABLE,,,,
Locktype,LACC,ACCURATE 2001,,,,
Locktype,LAK,ADAMS RITE 8801/LATCH,,,,
Locktype,LROLLER,ROLLER LATCH,,,,
Lever CL,ASA,4 1/16 AND A15,,,
Lever CL,T-STRIKE,T-STRIKE,,,
Lever CL,L407,ADAMS RITE HOOKBOLT STRIKE,,,
Lever CL,OPS,DUST PROOF STRIKE,,,
