family,size,finish,price
AP111,"18""",605/606,49.8
AP111,"18""",611/612,49.8
AP111,"18""",612E,37.4
AP111,"18""",613,49.8
AP111,"18""",613E,37.4
AP111,"18""",622,37.4
AP111,"18""",625/626,49.8
AP111,"18""",628,6.9
AP111,"18""",629,20.0
AP111,"18""",316P,24.1
AP111,"18""",630,2.8
AP111,"18""",316S,7.6
AP111,"18""",710,24.1
AP111,"18""",SPECIAL,1.2
AP111,"24""",605/606,54.6
AP111,"24""",611/612,54.6
AP111,"24""",612E,33.5
AP111,"24""",613,54.6
AP111,"24""",613E,33.5
AP111,"24""",622,33.5
AP111,"24""",625/626,54.6
AP111,"24""",628,47.7
AP111,"24""",629,4.0
AP111,"24""",316P,11.0
AP111,"24""",630,40.7
AP111,"24""",316S,82.9
AP111,"24""",710,11.0
AP111,"24""",SPECIAL,50.7
AP111,"36""",605/606,34.4
AP111,"36""",611/612,34.4
AP111,"36""",612E,98.4
AP111,"36""",613,34.4
AP111,"36""",613E,98.4
AP111,"36""",622,98.4
AP111,"36""",625/626,34.4
AP111,"36""",628,52.0
AP111,"36""",629,48.0
AP111,"36""",316P,60.0
AP111,"36""",630,40.0
AP111,"36""",316S,12.0
AP111,"36""",710,60.0
AP111,"36""",SPECIAL,91.0
AP111,"48""",605/606,14.1
AP111,"48""",611/612,14.1
AP111,"48""",612E,63.2
AP111,"48""",613,14.1
AP111,"48""",613E,63.2
AP111,"48""",622,63.2
AP111,"48""",625/626,14.1
AP111,"48""",628,56.2
AP111,"48""",629,90.2
AP111,"48""",316P,8.9
AP111,"48""",630,39.3
AP111,"48""",316S,41.1
AP111,"48""",710,8.9
AP111,"48""",SPECIAL,26.7
AP112,"8""",605/606,69.2
AP112,"8""",611/612,69.2
AP112,"8""",612E,22.0
AP112,"8""",613,69.2
AP112,"8""",613E,22.0
AP112,"8""",622,22.0
AP112,"8""",625/626,69.2
AP112,"8""",628,30.2
AP112,"8""",629,61.6
AP112,"8""",316P,71.7
AP112,"8""",630,14.5
AP112,"8""",316S,8.8
AP112,"8""",SPECIAL,73.8
AP112,"10""",605/606,21.6
AP112,"10""",611/612,21.6
AP112,"10""",612E,70.1
AP112,"10""",613,21.6
AP112,"10""",613E,70.1
AP112,"10""",622,70.1
AP112,"10""",625/626,21.6
AP112,"10""",628,60.6
AP112,"10""",629,94.9
AP112,"10""",316P,15.1
AP112,"10""",630,43.4
AP112,"10""",316S,46.4
AP112,"10""",SPECIAL,41.6
AP112,"12""",605/606,36.6
AP112,"12""",611/612,36.6
AP112,"12""",612E,83.8
AP112,"12""",613,36.6
AP112,"12""",613E,83.8
AP112,"12""",622,83.8
AP112,"12""",625/626,36.6
AP112,"12""",628,69.3
AP112,"12""",629,4.4
AP112,"12""",316P,27.5
AP112,"12""",630,51.7
AP112,"12""",316S,57.2
AP112,"12""",SPECIAL,58.9
AP112,"18""",605/606,48.9
AP112,"18""",611/612,48.9
AP112,"18""",612E,86.8
AP112,"18""",613,48.9
AP112,"18""",613E,86.8
AP112,"18""",622,86.8
AP112,"18""",625/626,48.9
AP112,"18""",628,34.4
AP112,"18""",629,75.8
AP112,"18""",316P,20.6
AP112,"18""",630,13.8
AP112,"18""",316S,37.9
AP112,"18""",SPECIAL,10.6
AP112,"24""",605/606,53.7
AP112,"24""",611/612,53.7
AP112,"24""",612E,83.0
AP112,"24""",613,53.7
AP112,"24""",613E,83.0
AP112,"24""",622,83.0
AP112,"24""",625/626,53.7
AP112,"24""",628,95.3
AP112,"24""",629,42.4
AP112,"24""",316P,7.5
AP112,"24""",630,71.7
AP112,"24""",316S,13.2
AP112,"24""",SPECIAL,162.4
AP112,"36""",605/606,100.9
AP112,"36""",611/612,100.9
AP112,"36""",612E,9.6
AP112,"36""",613,100.9
AP112,"36""",613E,9.6
AP112,"36""",622,9.6
AP112,"36""",625/626,100.9
AP112,"36""",628,38.6
AP112,"36""",629,99.4
AP112,"36""",316P,12.3
AP112,"36""",630,8.2
AP112,"36""",316S,90.7
AP112,"36""",SPECIAL,486.6
AP121,"48""",605/606,153.3
AP121,"48""",611/612,153.3
AP121,"48""",612E,57.7
AP121,"48""",613,153.3
AP121,"48""",613E,57.7
AP121,"48""",622,57.7
AP121,"48""",625/626,153.3
AP121,"48""",628,69.0
AP121,"48""",629,32.8
AP121,"48""",316P,55.8
AP121,"48""",630,37.2
AP121,"48""",316S,28.3
AP121,"48""",SPECIAL,564.8
AP121,"24""",605/606,55.7
AP121,"24""",611/612,55.7
AP121,"24""",612E,26.2
AP121,"24""",613,55.7
AP121,"24""",613E,26.2
AP121,"24""",622,26.2
AP121,"24""",625/626,55.7
AP121,"24""",628,6.3
AP121,"24""",629,26.0
AP121,"24""",316P,94.8
AP121,"24""",630,96.5
AP121,"24""",316S,55.5
AP121,"24""",710,94.8
AP121,"24""",SPECIAL,79.4
AP121,"36""",605/606,4.6
AP121,"36""",611/612,4.6
AP121,"36""",612E,54.5
AP121,"36""",613,4.6
AP121,"36""",613E,54.5
AP121,"36""",622,54.5
AP121,"36""",625/626,4.6
AP121,"36""",628,50.8
AP121,"36""",629,84.2
AP121,"36""",316P,1.1
AP121,"36""",630,34.1
AP121,"36""",316S,34.3
AP121,"36""",710,1.1
AP121,"36""",SPECIAL,10.6
AP121,"48""",605/606,35.8
AP121,"48""",611/612,35.8
AP121,"48""",612E,66.5
AP121,"48""",613,35.8
AP121,"48""",613E,66.5
AP121,"48""",622,66.5
AP121,"48""",625/626,35.8
AP121,"48""",628,84.9
AP121,"48""",629,31.0
AP121,"48""",316P,92.7
AP121,"48""",630,61.8
