model,description,finish,price
MasterCraft Bronze Pull Plate,,DB,1432.6
MasterCraft Bronze Pull Plate,,SB,1432.6
MasterCraft Bronze Pull Plate,,SNB,1432.6
MasterCraft Bronze Pull Plate,,612,1432.6
MasterCraft Bronze Pull Plate,,613,1432.6
MasterCraft Bronze Push Plate,,DB,817.5
MasterCraft Bronze Push Plate,,SB,817.5
MasterCraft Bronze Push Plate,,SNB,817.5
MasterCraft Bronze Push Plate,,612,817.5
MasterCraft Bronze Push Plate,,613,817.5
STANLEY MasterCraft Bronze Push Plate,,DB,855.4
STANLEY MasterCraft Bronze Push Plate,,SB,855.4
STANLEY MasterCraft Bronze Push Plate,,SNB,855.4
STANLEY MasterCraft Bronze Push Plate,,612,855.4
STANLEY MasterCraft Bronze Push Plate,,613,855.4
PIERCE Classic Pull Plate,,DB,1177.3
PIERCE Classic Pull Plate,,SB,1177.3
PIERCE Classic Pull Plate,,SNB,1177.3
PIERCE Classic Pull Plate,,612,1177.3
PIERCE Classic Pull Plate,,613,1177.3
LAVA Classic Push Plate,,DB,855.4
LAVA Classic Push Plate,,SB,855.4
LAVA Classic Push Plate,,SNB,855.4
LAVA Classic Push Plate,,612,855.4
LAVA Classic Push Plate,,613,855.4
LAVA - CAIRO Classic Pull Plate,,DB,1425.7
LAVA - CAIRO Classic Pull Plate,,SB,1425.7
LAVA - CAIRO Classic Pull Plate,,SNB,1425.7
LAVA - CAIRO Classic Pull Plate,,612,1425.7
LAVA - CAIRO Classic Pull Plate,,613,1425.7
35 Classic Door Pull,,DB,1198.0
35 Classic Door Pull,,SB,1198.0
35 Classic Door Pull,,SNB,1198.0
35 Classic Door Pull,,612,1198.0
35 Classic Door Pull,,613,1198.0
WENDELL MasterCraft Bronze Push Plate,,DB,779.5
WENDELL MasterCraft Bronze Push Plate,,SB,779.5
WENDELL MasterCraft Bronze Push Plate,,SNB,779.5
WENDELL MasterCraft Bronze Push Plate,,612,779.5
WENDELL MasterCraft Bronze Push Plate,,613,779.5
WENDELL MasterCraft Bronze Pull Plate,,DB,912.9
WENDELL MasterCraft Bronze Pull Plate,,SB,912.9
WENDELL MasterCraft Bronze Pull Plate,,SNB,912.9
WENDELL MasterCraft Bronze Pull Plate,,612,912.9
WENDELL MasterCraft Bronze Pull Plate,,613,912.9
BP1,"1"" dia. Back Plate, 1/4"" dia. hole",605,24.1
BP1,"1"" dia. Back Plate, 1/4"" dia. hole",613,24.1
BP1,"1"" dia. Back Plate, 1/4"" dia. hole",613E,24.1
BP1,"1"" dia. Back Plate, 1/4"" dia. hole",622,31.0
BP1,"1"" dia. Back Plate, 1/4"" dia. hole",625,24.1
BP1,"1"" dia. Back Plate, 1/4"" dia. hole",626,24.1
BP1,"1"" dia. Back Plate, 1/4"" dia. hole",628,24.1
BP1,"1"" dia. Back Plate, 1/4"" dia. hole",629,24.1
BP1,"1"" dia. Back Plate, 1/4"" dia. hole",630,21.8
BP1,"1"" dia. Back Plate, 1/4"" dia. hole",SPECIAL,34.5
BP2,"1-1/4"" dia. Back Plate, 5/16"" dia. hole",605,25.3
BP2,"1-1/4"" dia. Back Plate, 5/16"" dia. hole",613,25.3
BP2,"1-1/4"" dia. Back Plate, 5/16"" dia. hole",613E,25.3
BP2,"1-1/4"" dia. Back Plate, 5/16"" dia. hole",622,33.3
BP2,"1-1/4"" dia. Back Plate, 5/16"" dia. hole",625,25.3
