Opening,Location,TotalCost,TotalLabor,LaborRate,RowSell,SharePercent,AllocatedTotal
2.4ST1,STAIR #1,13360.7,24.75,118.95,16304.7125,18.517,29935.62
2.3ST1,STAIR #1,13360.7,24.75,118.95,16304.7125,18.517,29935.61
2.2ST1,STAIR #1,13360.7,24.75,118.95,16304.7125,18.517,29935.61
2.1ST1,STAIR #1,13360.7,24.75,118.95,16304.7125,18.517,29935.61
2.1J07,SOC,2406.84,10.13,118.95,3611.8035,4.1019,6631.31
2.4C05B,VESTIBULE,2281.84,7.75,118.95,3203.7025,3.6384,5882.03
2.4C05A,VESTIBULE,2281.84,7.75,118.95,3203.7025,3.6384,5882.03
2.3H05B,VESTIBULE,2281.84,7.75,118.95,3203.7025,3.6384,5882.03
2.3H05A,VESTIBULE,2281.84,7.75,118.95,3203.7025,3.6384,5882.03
2.2C05B,VESTIBULE,2281.84,7.75,118.95,3203.7025,3.6384,5882.03
2.2C05A,VESTIBULE,2281.84,7.75,118.95,3203.7025,3.6384,5882.03
